locale,key,lineno,text
ja,MIDTIER_RESOLVE_MSG1_ERROR,1.0,"%1z\u81ea\u52d5\u7684\u306b midtier \u3092\u89e3\u6c7a\u3067\u304d\u307e\u305b\u3093\u3002\u30b0\u30ed\u30fc\u30d0\u30eb\u5909\u6570 ""fslastm"" \u306b\u5024\u304c\u542b\u307e\u308c\u3066\u3044\u307e\u305b\u3093\u3002"
ja,MIDTIER_RESOLVE_MSG2_ERROR,1.0,%1z\u30bb\u30c3\u30b7\u30e7\u30f3\u306f\u4f5c\u6210\u3055\u308c\u3066\u3044\u306a\u3044\u304b\u3001\u3059\u3067\u306b\u9589\u3058\u3089\u308c\u3066\u3044\u307e\u3059\u3002
ja,MISSING_COLUMNS_ERROR,1.0,%1z\u30c7\u30fc\u30bf\u30bb\u30c3\u30c8 %#1s \u306b\u5fc5\u9808\u5217 '%#2s' \u304c\u542b\u307e\u308c\u3066\u3044\u307e\u305b\u3093\u3002
ja,MISSING_EVENTS_ERROR,1.0,%1z\u6307\u5b9a\u3057\u305f\u30a4\u30d9\u30f3\u30c8\u306e\u4e2d\u306b\u5b58\u5728\u3057\u306a\u3044\u30a4\u30d9\u30f3\u30c8\u304c\u3042\u308a\u307e\u3059\u3002
ja,MISSING_PATHS_ERROR,1.0,%1z\u30b5\u30fc\u30d0\u30fc\u9593\u306b\u307e\u305f\u304c\u308b\u30a2\u30af\u30b7\u30e7\u30f3\u3092\u5b9f\u884c\u3059\u308b\u5834\u5408\u3001\u30bd\u30fc\u30b9\u3068\u30bf\u30fc\u30b2\u30c3\u30c8\u306e\u4e21\u65b9\u306e\u74b0\u5883\u306e\u30d1\u30b9\u3092\u6307\u5b9a\u3057\u3066\u304f\u3060\u3055\u3044\u3002
ja,MISSING_VAR_ERROR,1.0,%1z\u30de\u30af\u30ed\u5909\u6570 %#1s= \u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,NO_ACTION_TAKEN_ERROR,1.0,%1z\u5b9f\u884c\u3055\u308c\u305f\u30a2\u30af\u30b7\u30e7\u30f3\u306f\u3042\u308a\u307e\u305b\u3093\u3002
ja,NO_ENVIRONMENT_ERROR,1.0,%1z\u74b0\u5883 %#1s \u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,NO_PROJECT_ERROR,1.0,%1z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8 %#1s \u306f\u5b58\u5728\u3057\u307e\u305b\u3093\u3002
ja,NO_PROJECT_VARS_NOTE,1.0,%3z\u30d7\u30ed\u30b8\u30a7\u30af\u30c8\u5909\u6570\u304c\u30ed\u30fc\u30c9\u3055\u308c\u3066\u3044\u307e\u305b\u3093\u3002
