unicode,ibm,pcms
U+0320,416D,A6AD
U+0320,416E,A6AE
U+0320,416F,A6AF
U+03A0,4170,A6B0
U+03A1,4171,A6B1
U+03A3,4172,A6B2
U+03A4,4173,A6B3
U+03A5,4174,A6B4
U+03A6,4175,A6B5
U+03A7,4176,A6B6
U+03A8,4177,A6B7
U+03A9,4178,A6B8
U+03B1,4141,A6C1
U+03B2,4142,A6C2
U+03B3,4143,A6C3
U+03B4,4144,A6C4
U+03B5,4145,A6C5
U+03B6,4146,A6C6
U+03B7,4147,A6C7
U+03B8,4148,A6C8
U+03B9,4149,A6C9
U+03BA,414A,A6CA
U+03BB,414B,A6CB
U+03BC,414C,A6CC
U+03BD,414D,A6CD
U+03BE,414E,A6CE
U+03BF,414F,A6CF
U+03C0,4150,A6D0
U+03C1,4151,A6D1
U+03C3,4152,A6D2
U+03C4,4153,A6D3
U+03C5,4154,A6D4
U+03C6,4155,A6D5
U+03C7,4156,A6D6
U+03C8,4157,A6D7
U+03C9,4158,A6D8
U+0410,41C0,A7A1
U+0411,41C1,A7A2
U+0412,41C2,A7A3
U+0413,41C3,A7A4
U+0414,41C4,A7A5
U+0415,41C5,A7A6
U+0401,41C6,A7A7
U+0416,41C7,A7A8
U+0417,41C8,A7A9
U+0418,41C9,A7AA
U+0419,41CA,A7AB
U+041A,41CB,A7AC
U+041B,41CC,A7AD
U+041C,41CD,A7AE
U+041D,41CE,A7AF
U+041E,41CF,A7B0
U+041F,41D0,A7B1
U+0420,41D1,A7B2
U+0421,41D2,A7B3
U+0422,41D3,A7B4
U+0423,41D4,A7B5
U+0424,41D5,A7B6
U+0425,41D6,A7B7
U+0426,41D7,A7B8
U+0427,41D8,A7B9
U+0428,41D9,A7BA
U+0429,41DA,A7BB
U+042A,41DB,A7BC
U+042B,41DC,A7BD
U+042C,41DD,A7BE
U+042D,41DE,A7BF
U+042E,41DF,A7C0
U+042F,4120,A7C1
U+0430,4180,A7D1
U+0431,4120,A7D2
U+0432,4120,A7D3
U+0433,4120,A7D4
U+0434,4120,A7D5
U+0435,4120,A7D6
U+0451,4120,A7D7
U+0436,4120,A7D8
U+0437,4120,A7D9
U+0438,4120,A7DA
U+0439,4120,A7DB
U+043A,4120,A7DC
U+043B,4120,A7DD
U+043C,4120,A7DE
U+043D,4120,A7DF
U+043E,4120,A720
U+043F,4120,A720
U+0440,4120,A720
U+0441,4120,A720
U+0442,4120,A720
U+0443,4120,A720
U+0444,4120,A720
U+0445,4120,A720
U+0446,4120,A720
U+0447,4120,A720
U+0448,4120,A720
U+0449,4120,A720
U+044A,4120,A720
U+044B,4120,A720
U+044C,4120,A720
U+044D,4120,A720
U+044E,4120,A720
U+044F,41A0,A720
U+0101,4641,A8A1
U+0020,4642,A8A2
U+01CE,4643,A8A3
U+0020,4644,A8A4
U+0113,4645,A8A5
U+0020,4646,A8A6
U+011B,4647,A8A7
U+0020,4648,A8A8
U+012B,4649,A8A9
U+0020,464A,A8AA
U+01D0,464B,A8AB
U+0020,464C,A8AC
U+014D,464D,A8AD
U+0020,464E,A8AE
U+01D2,464F,A8AF
U+0020,4650,A8B0
U+016B,4651,A8B1
U+0020,4652,A8B2
U+01D4,4653,A8B3
U+0020,4654,A8B4
U+01D6,4655,A8B5
U+01D8,4656,A8B6
U+01DA,4657,A8B7
U+01DC,4658,A8B8
U+0020,4659,A8B9
U+0020,465A,A8BA
U+3105,4665,A8C5
U+3106,4666,A8C6
U+3107,4667,A8C7
U+3108,4668,A8C8
U+3109,4669,A8C9
U+310A,466A,A8CA
U+310B,466B,A8CB
U+310C,466C,A8CC
U+310D,466D,A8CD
U+310E,466E,A8CE
U+310F,466F,A8CF
U+3110,4670,A8D0
U+3111,4671,A8D1
U+3112,4672,A8D2
U+3113,4673,A8D3
U+3114,4674,A8D4
U+3115,4675,A8D5
U+3116,4676,A8D6
U+3117,4677,A8D7
U+3118,4678,A8D8
U+3119,4679,A8D9
U+311A,467A,A8DA
U+311B,467B,A8DB
U+311C,467C,A8DC
U+311D,467D,A8DD
U+311E,467E,A8DE
U+311F,467F,A8DF
U+3120,4680,A820
U+3121,4620,A820
U+3122,4620,A820
U+3123,4620,A820
U+3124,4620,A820
U+3125,4620,A820
U+3126,4620,A820
U+3127,4620,A820
U+3128,4620,A820
U+3129,4620,A820
U+2500,46A4,A9A4
U+2501,46A5,A9A5
U+2502,46A6,A9A6
U+2503,46A7,A9A7
U+2504,46A8,A9A8
U+2505,46A9,A9A9
U+2506,46AA,A9AA
U+2507,46AB,A9AB
U+2508,46AC,A9AC
U+2509,46AD,A9AD
U+250A,46AE,A9AE
U+250B,46AF,A9AF
U+250C,46B0,A9B0
U+250D,46B1,A9B1
U+250E,46B2,A9B2
U+250F,46B3,A9B3
U+2510,46B4,A9B4
U+2511,46B5,A9B5
U+2512,46B6,A9B6
U+2513,46B7,A9B7
U+2514,46B8,A9B8
U+2515,46B9,A9B9
U+2516,46BA,A9BA
U+2517,46BB,A9BB
U+2518,46BC,A9BC
U+2519,46BD,A9BD
U+251A,46BE,A9BE
U+251B,46BF,A9BF
U+251C,46C0,A9C0
U+251D,46C1,A9C1
U+251E,46C2,A9C2
U+251F,46C3,A9C3
U+2520,46C4,A9C4
U+2521,46C5,A9C5
U+2522,46C6,A9C6
U+2523,46C7,A9C7
U+2524,46C8,A9C8
U+2525,46C9,A9C9
U+2526,46CA,A9CA
U+2527,46CB,A9CB
U+2528,46CC,A9CC
U+2529,46CD,A9CD
U+252A,46CE,A9CE
U+252B,46CF,A9CF
U+252C,46D0,A9D0
U+252D,46D1,A9D1
U+252E,46D2,A9D2
U+252F,46D3,A9D3
U+2530,46D4,A9D4
U+2531,46D5,A9D5
U+2532,46D6,A9D6
U+2533,46D7,A9D7
U+2534,46D8,A9D8
U+2535,46D9,A9D9
U+2536,46DA,A9DA
U+2537,46DB,A9DB
U+2538,46DC,A9DC
U+2539,46DD,A9DD
U+253A,46DE,A9DE
U+253B,46DF,A9DF
U+253C,4620,A920
U+253D,4620,A920
U+253E,4620,A920
U+253F,4620,A920
U+2540,4620,A920
U+2541,4620,A920
U+2542,4620,A920
U+2543,4620,A920
U+2544,4620,A920
U+2545,4620,A920
U+2546,4620,A920
U+2547,4620,A920
U+2548,4620,A920
U+2549,4620,A920
U+254A,4620,A920
U+254B,4620,A920
U+554A,48A0,B0A1
U+963F,48A1,B0A2
U+57C3,48A2,B0A3
U+6328,48A3,B0A4
U+54CE,48A4,B0A5
U+5509,48A5,B0A6
U+54C0,48A6,B0A7
U+7620,48A7,B0A8
U+764C,48A8,B0A9
U+853C,48A9,B0AA
U+7720,48AA,B0AB
U+827E,48AB,B0AC
U+7820,48AC,B0AD
U+7231,48AD,B0AE
U+9698,48AE,B0AF
U+978D,48AF,B0B0
U+6C28,48B0,B0B1
U+5B20,48B1,B0B2
U+4F20,48B2,B0B3
U+6309,48B3,B0B4
U+6620,48B4,B0B5
U+5CB8,48B5,B0B6
U+8020,48B6,B0B7
U+6848,48B7,B0B8
U+80AE,48B8,B0B9
U+6602,48B9,B0BA
U+76CE,48BA,B0BB
U+5120,48BB,B0BC
U+6556,48BC,B0BD
U+71AC,48BD,B0BE
U+7F20,48BE,B0BF
U+8884,48BF,B0C0
U+50B2,48C0,B0C1
U+5965,48C1,B0C2
U+61CA,48C2,B0C3
U+6FB3,48C3,B0C4
U+82AD,48C4,B0C5
U+634C,48C5,B0C6
U+6252,48C6,B0C7
U+5320,48C7,B0C8
U+5427,48C8,B0C9
U+7B06,48C9,B0CA
U+516B,48CA,B0CB
U+75A4,48CB,B0CC
U+5D20,48CC,B0CD
U+62D4,48CD,B0CE
U+8DCB,48CE,B0CF
U+9776,48CF,B0D0
U+6220,48D0,B0D1
U+8019,48D1,B0D2
U+575D,48D2,B0D3
U+9738,48D3,B0D4
U+7F62,48D4,B0D5
U+7238,48D5,B0D6
U+767D,48D6,B0D7
U+67CF,48D7,B0D8
U+767E,48D8,B0D9
U+6446,48D9,B0DA
U+4F70,48DA,B0DB
U+8D25,48DB,B0DC
U+62DC,48DC,B0DD
U+7A17,48DD,B0DE
U+6520,48DE,B0DF
U+7320,48DF,B020
U+642C,4820,B020
U+6273,4820,B020
U+822C,4820,B020
U+9881,4820,B020
U+677F,4820,B020
U+7248,4820,B020
U+626E,4820,B020
U+62CC,4820,B020
U+4F34,4820,B020
U+7420,4820,B020
U+534A,4820,B020
U+5220,4820,B020
U+7ECA,4820,B020
U+90A6,4820,B020
U+5E2E,4820,B020
U+6820,4820,B020
U+6920,4820,B020
U+8180,4820,B020
U+7ED1,4820,B020
U+68D2,4820,B020
U+78C5,4820,B020
U+868C,4820,B020
U+9551,4820,B020
U+5020,4820,B020
U+8C24,4820,B020
U+82DE,4820,B020
U+80DE,4820,B020
U+5305,4820,B020
U+8912,4820,B0FD
U+5265,48FD,B0FE
U+8584,4941,B1A1
U+96F9,4942,B1A2
U+4FDD,4943,B1A3
U+5821,4944,B1A4
U+9971,4945,B1A5
U+5B20,4946,B1A6
U+62B1,4947,B1A7
U+62A5,4948,B1A8
U+66B4,4949,B1A9
U+8C79,494A,B1AA
U+9C8D,494B,B1AB
U+7206,494C,B1AC
U+676F,494D,B1AD
U+7820,494E,B1AE
U+60B2,494F,B1AF
U+5351,4950,B1B0
U+5317,4951,B1B1
U+8F88,4952,B1B2
U+80CC,4953,B1B3
U+8D1D,4954,B1B4
U+94A1,4955,B1B5
U+500D,4956,B1B6
U+72C8,4957,B1B7
U+5907,4958,B1B8
U+6020,4959,B1B9
U+7119,495A,B1BA
U+88AB,495B,B1BB
U+5954,495C,B1BC
U+82EF,495D,B1BD
U+672C,495E,B1BE
U+7B28,495F,B1BF
U+5D29,4960,B1C0
U+7E20,4961,B1C1
U+752D,4962,B1C2
U+6C20,4963,B1C3
U+8E66,4964,B1C4
U+8FF8,4965,B1C5
U+903C,4966,B1C6
U+9F3B,4967,B1C7
U+6BD4,4968,B1C8
U+9119,4969,B1C9
U+7B14,496A,B1CA
U+5F7C,496B,B1CB
U+78A7,496C,B1CC
U+84D6,496D,B1CD
U+853D,496E,B1CE
U+6BD5,496F,B1CF
U+6BD9,4970,B1D0
U+6BD6,4971,B1D1
U+5E01,4972,B1D2
U+5E20,4973,B1D3
U+7520,4974,B1D4
U+95ED,4975,B1D5
U+655D,4976,B1D6
U+5F0A,4977,B1D7
U+5FC5,4978,B1D8
U+8F9F,4979,B1D9
U+58C1,497A,B1DA
U+81C2,497B,B1DB
U+907F,497C,B1DC
U+965B,497D,B1DD
U+97AD,497E,B1DE
U+8FB9,497F,B1DF
U+7F16,4920,B120
U+8D2C,4920,B120
U+6241,4920,B120
U+4FBF,4920,B120
U+53D8,4920,B120
U+535E,4920,B120
U+8FA8,4920,B120
U+8FA9,4920,B120
U+8FAB,4920,B120
U+904D,4920,B120
U+6807,4920,B120
U+5F6A,4920,B120
U+8198,4920,B120
U+8868,4920,B120
U+9CD6,4920,B120
U+6120,4920,B120
U+522B,4920,B120
U+762A,4920,B120
U+5F6C,4920,B120
U+6520,4920,B120
U+6FD2,4920,B120
U+6E20,4920,B120
U+5BBE,4920,B120
U+6448,4920,B120
U+5175,4920,B120
U+51B0,4920,B120
U+67C4,4920,B120
U+4E19,4920,B120
U+79C9,4920,B120
U+997C,4920,B1FD
U+70B3,4920,B1FE
U+75C5,49A0,B2A1
U+5E76,49A1,B2A2
U+73BB,49A2,B2A3
U+83E0,49A3,B2A4
U+64AD,49A4,B2A5
U+6220,49A5,B2A6
U+94B5,49A6,B2A7
U+6C20,49A7,B2A8
U+535A,49A8,B2A9
U+52C3,49A9,B2AA
U+640F,49AA,B2AB
U+94C2,49AB,B2AC
U+7B20,49AC,B2AD
U+4F2F,49AD,B2AE
U+5E1B,49AE,B2AF
U+8236,49AF,B2B0
U+8116,49B0,B2B1
U+818A,49B1,B2B2
U+6E24,49B2,B2B3
U+6CCA,49B3,B2B4
U+9A73,49B4,B2B5
U+6355,49B5,B2B6
U+535C,49B6,B2B7
U+5420,49B7,B2B8
U+8865,49B8,B2B9
U+5720,49B9,B2BA
U+4E0D,49BA,B2BB
U+5E03,49BB,B2BC
U+6B65,49BC,B2BD
U+7C3F,49BD,B2BE
U+90E8,49BE,B2BF
U+6016,49BF,B2C0
U+6420,49C0,B2C1
U+731C,49C1,B2C2
U+88C1,49C2,B2C3
U+6750,49C3,B2C4
U+624D,49C4,B2C5
U+8D22,49C5,B2C6
U+776C,49C6,B2C7
U+8E29,49C7,B2C8
U+91C7,49C8,B2C9
U+5F69,49C9,B2CA
U+83DC,49CA,B2CB
U+8521,49CB,B2CC
U+9910,49CC,B2CD
U+53C2,49CD,B2CE
U+8695,49CE,B2CF
U+6B20,49CF,B2D0
U+6020,49D0,B2D1
U+6020,49D1,B2D2
U+707F,49D2,B2D3
U+82CD,49D3,B2D4
U+8231,49D4,B2D5
U+4ED3,49D5,B2D6
U+6CA7,49D6,B2D7
U+85CF,49D7,B2D8
U+64CD,49D8,B2D9
U+7CD9,49D9,B2DA
U+69FD,49DA,B2DB
U+6620,49DB,B2DC
U+8349,49DC,B2DD
U+5320,49DD,B2DE
U+7B56,49DE,B2DF
U+4FA7,49DF,B220
U+5120,4920,B220
U+6D4B,4920,B220
U+5C42,4920,B220
U+8E6D,4920,B220
U+63D2,4920,B220
U+53C9,4920,B220
U+832C,4920,B220
U+8336,4920,B220
U+6720,4920,B220
U+78B4,4920,B220
U+643D,4920,B220
U+5BDF,4920,B220
U+5C20,4920,B220
U+5D20,4920,B220
U+8BE7,4920,B220
U+62C6,4920,B220
U+6720,4920,B220
U+8C7A,4920,B220
U+6400,4920,B220
U+63BA,4920,B220
U+8749,4920,B220
U+998B,4920,B220
U+8C17,4920,B220
U+7F20,4920,B220
U+94F2,4920,B220
U+4EA7,4920,B220
U+9610,4920,B220
U+98A4,4920,B220
U+660C,4920,B2FD
U+7316,49FD,B2FE
U+573A,4A41,B3A1
U+5C1D,4A42,B3A2
U+5E38,4A43,B3A3
U+957F,4A44,B3A4
U+507F,4A45,B3A5
U+80A0,4A46,B3A6
U+5320,4A47,B3A7
U+655E,4A48,B3A8
U+7545,4A49,B3A9
U+5531,4A4A,B3AA
U+5021,4A4B,B3AB
U+8D85,4A4C,B3AC
U+6220,4A4D,B3AD
U+949E,4A4E,B3AE
U+671D,4A4F,B3AF
U+5632,4A50,B3B0
U+6F6E,4A51,B3B1
U+5D20,4A52,B3B2
U+5435,4A53,B3B3
U+7020,4A54,B3B4
U+8F66,4A55,B3B5
U+626F,4A56,B3B6
U+64A4,4A57,B3B7
U+63A3,4A58,B3B8
U+5F7B,4A59,B3B9
U+6F20,4A5A,B3BA
U+90F4,4A5B,B3BB
U+81E3,4A5C,B3BC
U+8FB0,4A5D,B3BD
U+5C18,4A5E,B3BE
U+6668,4A5F,B3BF
U+5F20,4A60,B3C0
U+6C20,4A61,B3C1
U+9648,4A62,B3C2
U+8D81,4A63,B3C3
U+886C,4A64,B3C4
U+6420,4A65,B3C5
U+7920,4A66,B3C6
U+57CE,4A67,B3C7
U+6A59,4A68,B3C8
U+6210,4A69,B3C9
U+5448,4A6A,B3CA
U+4E58,4A6B,B3CB
U+7A0B,4A6C,B3CC
U+6020,4A6D,B3CD
U+6F20,4A6E,B3CE
U+8BDA,4A6F,B3CF
U+627F,4A70,B3D0
U+901E,4A71,B3D1
U+9A8B,4A72,B3D2
U+7920,4A73,B3D3
U+5403,4A74,B3D4
U+7520,4A75,B3D5
U+6301,4A76,B3D6
U+5319,4A77,B3D7
U+6C60,4A78,B3D8
U+8FDF,4A79,B3D9
U+5F1B,4A7A,B3DA
U+9A70,4A7B,B3DB
U+803B,4A7C,B3DC
U+9F7F,4A7D,B3DD
U+4F20,4A7E,B3DE
U+5C3A,4A7F,B3DF
U+8D64,4A20,B320
U+7FC5,4A20,B320
U+65A5,4A20,B320
U+70BD,4A20,B320
U+5145,4A20,B320
U+51B2,4A20,B320
U+866B,4A20,B320
U+5D07,4A20,B320
U+5BA0,4A20,B320
U+62BD,4A20,B320
U+916C,4A20,B320
