Term,Role
prask,Interj
pravda,Part
pravdaže,Part
pravdepodobne,Part
pravdupovediac,Part
prd,Part
pre,Prep
prebeda,Interj
preboha,Interj
pred,Prep
predeň,Pron
predostatný,Num
predovšetkým,Part
predposledný,Num
predsa,Conj
predsa,Part
prekristapána,Interj
premnoho,Num
premnohý,Num
prepytujem,Part
prepána,Interj
prepánaboha,Interj
prepánajána,Interj
preto,Conj
preto,Part
pretože,Conj
preň,Pron
preňho,Pron
pri,Prep
priam,Part
priamo,Part
približne,Part
primnoho,Num
prinajhoršom,Part
prinajlepšom,Part
prinajmenej,Part
prinajmenšom,Part
prirodzene,Part
prisám,Interj
prisám,Part
prisámbohu,Interj
prisámbohu,Part
prisámvačku,Interj
prisámvačku,Part
pritom,Conj
priveľa,Num
pričom,Conj
proste,Part
prosto,Part
prostred,Prep
prostredníctvom,Prep
prostriedkom,Prep
prosím,Part
proti,Prep
prv,Conj
prvý,Num
prásk,Interj
práve,Part
práveže,Part
prípadne,Part
ps,Interj
psst,Interj
pst,Interj
puf,Interj
punktum,Interj
pá,Interj
pána,Interj
pána,Part
pánabeka,Interj
pánabeka,Part
pánbochráň,Part
pánbohchráň,Part
pánbohhovie,Part
pánbohvie,Part
pápá,Interj
pár,Num
pätina,Num
pätnástina,Num
pätnásty,Num
pätnásť,Num
pätnásťnásobný,Num
pätoraký,Num
pätoro,Num
päť,Num
päťadvadsať,Num
päťdesiat,Num
päťdesiatdeväť,Num
päťdesiatdva,Num
päťdesiatina,Num
päťdesiatjeden,Num
päťdesiatnásobný,Num
päťdesiatosem,Num
päťdesiatpäť,Num
päťdesiatsedem,Num
päťdesiattri,Num
päťdesiaty,Num
päťdesiatšesť,Num
päťdesiatštyri,Num
päťnásobný,Num
päťsto,Num
päťstý,Num
päťtisíc,Num
píp,Interj
pŕ,Interj
pŕŕ,Interj
radšej,Part
raz,Num
raz,Part
reku,Part
respektíve,Part
ribi,Interj
rovnako,Part
rovno,Part
rozhodne,Part
rup,Interj
rups,Interj
rád,Part
s,Prep
sa,Part
sa,Pron
sakra,Interj
salve,Interj
samozrejme,Part
samý,Pron
seba,Pron
sedem,Num
sedemdesiat,Num
sedemdesiatdeväť,Num
sedemdesiatdva,Num
sedemdesiatina,Num
sedemdesiatjeden,Num
sedemdesiatnásobný,Num
sedemdesiatosem,Num
sedemdesiatpäť,Num
sedemdesiatsedem,Num
sedemdesiattisíc,Num
sedemdesiattri,Num
sedemdesiaty,Num
sedemdesiatšesť,Num
sedemdesiatštyri,Num
sedemnásobný,Num
sedemnástina,Num
sedemnásty,Num
sedemnásť,Num
sedemnásťnásobný,Num
sedemsto,Num
sedemstotisíc,Num
sedemstý,Num
sedemtisíc,Num
sedmina,Num
sedmoraký,Num
sedmoro,Num
septiliarda,Num
septilión,Num
servus,Interj
servus,Part
servuste,Interj
sextiliarda,Num
sextilión,Num
si,Pron
siedmy,Num
skorej,Part
skoro,Part
skraja,Prep
skrz,Prep
skrze,Prep
skrátka,Part
skutočne,Part
skôr,Conj
skôr,Part
slovom,Part
smieť,Verb
snáď,Part
sotva,Conj
sotva,Part
sotvakto,Pron
sotvaktorý,Pron
sotvačo,Pron
sotvaže,Part
spod,Prep
spodkom,Prep
spomedzi,Prep
sponad,Prep
spopod,Prep
spopred,Prep
spoza,Prep
spred,Prep
sprostred,Prep
správne,Part
spánombohom,Interj
sto,Num
stoj,Part
stonásobný,Num
storaký,Num
stotina,Num
stotisíc,Num
stotisíci,Num
stotisícnásobný,Num
stredom,Prep
stámilióny,Num
státisíce,Num
stávať,Verb
stáť,Verb
stý,Num
svoj,Pron
sám,Pron
síce,Conj
sťa,Conj
sťaby,Conj
ta,Interj
tak,Conj
tak,Interj
tak,Part
takisto,Conj
takisto,Part
takmer,Part
takpovediac,Part
takrečeno,Part
taktiež,Part
takto,Part
taky,Interj
taký,Pron
takýto,Pron
takže,Conj
takže,Part
tam,Part
tamten,Pron
tamto,Pron
tamtá,Pron
teda,Conj
teda,Part
temer,Part
ten,Pron
tento,Pron
tenže,Pron
tfi,Interj
tfí,Interj
that,Conj
the,Part
tidli,Interj
tiež,Part
tiki,Interj
tiky,Interj
tisíc,Num
tisíci,Num
tisícina,Num
tisícnásobný,Num
tisícoraký,Num
tisícoro,Num
to,Conj
to,Part
to,Pron
tobôž,Part
tolikánsky,Pron
toličizný,Pron
totiž,Conj
totiž,Part
totižto,Conj
totižto,Part
toto,Interj
toto,Pron
toľko,Conj
toľko,Part
toľko,Pron
toľkonásobný,Pron
toľkoraký,Pron
toľkoto,Pron
toľký,Pron
toľkýto,Pron
toť,Part
tože,Pron
tra,Interj
trala,Interj
tralala,Interj
tralalom,Interj
trara,Interj
trarará,Interj
trebárs,Conj
trebárs,Part
tretina,Num
tretí,Num
tri,Num
triadvadsatina,Num
tridsatina,Num
tridsať,Num
tridsaťdeväť,Num
tridsaťdva,Num
tridsaťjeden,Num
tridsaťnásobný,Num
tridsaťosem,Num
tridsaťpäť,Num
tridsaťsedem,Num
tridsaťtri,Num
tridsaťšesť,Num
tridsaťštyri,Num
tridsiaty,Num
triliarda,Num
trilión,Num
trinástina,Num
trinásty,Num
trinásť,Num
trinásťnásobný,Num
tristo,Num
tritisíc,Num
trištvrte,Num
trocha,Num
trochu,Num
trojaký,Num
troje,Num
trojitý,Num
trojnásobný,Num
trojstý,Num
trojtisíci,Num
trošilinka,Num
trošilinku,Num
trošinka,Num
trošinku,Num
trošička,Num
trošičku,Num
troška,Num
trošku,Num
trošíčka,Num
trošíčku,Num
tu,Interj
tu,Part
tucet,Num
tuším,Part
tvoj,Pron
ty,Pron
tá,Pron
táto,Pron
táže,Pron
tú,Interj
tým,Conj
tŕ,Interj
u,Prep
uhm,Interj
uhú,Interj
ujujú,Interj
ujú,Interj
und,Conj
undecilión,Num
uprostred,Prep
určite,Part
uňho,Pron
už,Conj
už,Part
v,Prep
vaj,Interj
vari,Part
varuj,Interj
varúj,Interj
vcelku,Part
vedľa,Prep
ver,Interj
ver,Part
ver',Part
verabohu,Part
verabože,Part
versus,Conj
veru,Part
verubože,Part
veruže,Part
verzus,Conj
veď,Conj
veď,Part
veľa,Num
viac,Conj
viac,Num
viac,Part
viacej,Num
viacero,Num
viacerí,Num
viacnásobný,Num
viacrázový,Num
vinou,Prep
vitaj,Interj
vitajte,Interj
vivat,Interj
vlastne,Part
vnútri,Prep
von,Prep
vonkoncom,Part
vospust,Prep
voči,Prep
voľajaký,Pron
voľakoľko,Pron
voľakto,Pron
voľaktorý,Pron
voľačo,Pron
voľačí,Pron
voľáky,Pron
vplyvom,Prep
vr,Interj
vraj,Part
vrkú,Interj
vrr,Interj
vrzg,Interj
vrátane,Prep
vskutku,Part
vy,Pron
vyše,Part
vyše,Prep
vzhladom,Conj
váš,Pron
vážne,Part
vôbec,Part
vôkol,Prep
výborne,Part
výlučne,Part
výslovne,Part
včítane,Prep
vďaka,Prep
vŕŕ,Interj
však,Conj
však,Part
všakhej,Part
všakovaký,Pron
všakový,Pron
všakver,Part
všakáno,Part
všelijaký,Pron
všelikoľko,Pron
všelikto,Pron
všeličo,Pron
všetok,Pron
všetučko,Pron
z,Prep
za,Prep
zaboha,Part
zaiste,Part
zakiaľ,Conj
zarovno,Prep
zas,Part
zasa,Part
zase,Part
zatiaľ,Conj
zato,Conj
zato,Part
začiatkom,Prep
začínajúc,Prep
zaň,Pron
zaňho,Pron
zbohom,Interj
zhruba,Part
znútra,Prep
zo,Part
zopár,Num
zoči,Prep
zrazu,Part
zrejme,Part
zriedkakto,Pron
zriedkaktorý,Pron
zrovna,Part
zvlášť,Part
zvnútra,Prep
zvrchu,Prep
zásluhou,Prep
áber,Interj
ách,Interj
áh,Interj
áno,Interj
áno,Part
áá,Interj
áách,Interj
ááu,Interj
íh,Interj
íha,Interj
íí,Interj
óh,Interj
óha,Interj
ôsmy,Num
údajne,Part
ústrety,Prep
ča,Interj
čajsi,Part
čao,Interj
čau,Interj
čaute,Interj
čerta,Part
čerthovie,Part
čertvie,Part
čertvieaký,Pron
čertviekoľko,Pron
čertviekto,Pron
čertviečo,Pron
či,Conj
či,Interj
či,Part
