role,Term,numdocs
Adv,d'ores et déjà,140.0
Prep,d'un bout à l'autre d',1.0
Prep,d'un bout à l'autre de,12.0
Prep,d'un bout à l'autre du,4.0
Adv,d'un commun accord,418.0
Adv,d'un trait,16.0
Adv,d'une façon générale,63.0
Adv,d'une manière générale,372.0
Adv,d'une part,2389.0
Adv,dans ce cadre,359.0
Adv,dans ce cas,2061.0
Adv,dans ces conditions,396.0
Adv,dans cette optique,86.0
Prep,dans l'attente d',92.0
Prep,dans l'attente de,323.0
Prep,dans l'attente des,74.0
Prep,dans l'attente du,45.0
Adv,dans l'exercice de ses fonctions,91.0
Adv,dans l'immédiat,38.0
Prep,dans l'optique d',30.0
Prep,dans l'optique de,46.0
Prep,dans l'optique des,8.0
Prep,dans l'optique du,12.0
Prep,dans la direction d',7.0
Prep,dans la direction de,28.0
Prep,dans la direction des,2.0
Prep,dans la direction du,12.0
Prep,dans la direction d’,1.0
Adv,dans la foulée,23.0
Adv,dans la mesure de leurs moyens,3.0
Adv,dans la mesure de ses moyens,9.0
Conj,dans la mesure où,2830.0
Prep,dans le but d',383.0
Prep,dans le but de,757.0
Prep,dans le but d’,103.0
Prep,dans le cadre d',1863.0
Prep,dans le cadre de,6272.0
Prep,dans le cadre des,3068.0
Prep,dans le cadre du,3403.0
Prep,dans le cadre d’,450.0
Prep,dans le cas d',1232.0
Prep,dans le cas de,1548.0
Prep,dans le cas des,1440.0
Prep,dans le cas du,442.0
Prep,dans le cas d’,206.0
Conj,dans le cas où,2068.0
Prep,dans le contexte d',116.0
Prep,dans le contexte de,648.0
Prep,dans le contexte des,212.0
Prep,dans le contexte du,239.0
Prep,dans le contexte d’,62.0
Prep,dans le cours d',6.0
Prep,dans le cours de,9.0
Prep,dans le cours d’,1.0
Prep,dans le domaine d',26.0
Prep,dans le domaine de,2331.0
Prep,dans le domaine des,1448.0
Prep,dans le domaine du,513.0
Prep,dans le domaine d’,7.0
Adv,dans le nombre,37.0
Adv,dans le passé,247.0
Prep,dans le prolongement de,38.0
Prep,dans le prolongement des,27.0
Prep,dans le prolongement du,10.0
Prep,dans le prolongement d’,3.0
Prep,dans le sillage d',2.0
Prep,dans le sillage de,6.0
Prep,dans le sillage des,3.0
Prep,dans le sillage du,7.0
Adv,dans le vif du sujet,2.0
Adv,dans les circonstances actuelles,20.0
Adv,dans les grandes lignes,32.0
Adv,dans les parages,2.0
Adv,dans les prochaines années,32.0
Adv,dans les prochains mois,14.0
Adv,dans les règles,113.0
Adv,dans les règles de l'art,8.0
Prep,dans l’attente de,93.0
Prep,dans l’attente des,12.0
Prep,dans l’attente du,15.0
Prep,dans l’attente d’,12.0
Adv,dans l’exercice de ses fonctions,19.0
Adv,dans l’immédiat,10.0
Prep,dans l’optique de,13.0
Prep,dans l’optique des,1.0
Prep,dans l’optique du,4.0
Prep,dans l’optique d’,22.0
Adv,dans son ensemble,684.0
Adv,dans un premier temps,302.0
Adv,dans une certaine mesure,193.0
Adv,dans une moindre mesure,94.0
Adv,de a à z,2.0
Adv,de bout en bout,25.0
Conj,de ce qu',68.0
Conj,de ce que,245.0
Conj,de ce qu’,21.0
Prep,de chez,5.0
Adv,de concert,112.0
Adv,de conserve,29.0
Prep,de crainte d',3.0
Prep,de crainte de,1.0
Adv,de dos,29.0
Adv,de facto,119.0
Adv,de façon générale,59.0
Conj,de façon qu',82.0
Conj,de façon que,190.0
Conj,de façon qu’,3.0
Prep,de façon à,1095.0
Conj,de façon à ce qu',63.0
Conj,de façon à ce que,146.0
Conj,de façon à ce qu’,9.0
Adv,de force,406.0
Adv,de front,10.0
Adv,de gré à gré,38.0
Adv,de jure,20.0
Adv,de justesse,7.0
Adv,de l'avis général,8.0
Prep,de l'ordre d',13.0
Prep,de l'ordre de,252.0
Prep,de l'ordre des,19.0
Prep,de l'ordre du,56.0
Adv,de la sorte,106.0
Adv,de leur plein gré,9.0
Adv,de loin,149.0
Adv,de l’avis général,8.0
Prep,de l’ordre d',1.0
Prep,de l’ordre de,92.0
Prep,de l’ordre des,5.0
Prep,de l’ordre du,20.0
Prep,de l’ordre d’,2.0
Adv,de manière générale,240.0
Conj,de manière qu',93.0
Conj,de manière que,259.0
Conj,de manière qu’,17.0
Prep,de manière à,2206.0
Conj,de manière à ce qu',119.0
Conj,de manière à ce que,312.0
Conj,de manière à ce qu’,23.0
Adv,de moins en moins,31.0
Adv,de même,1436.0
Conj,de même qu',109.0
Conj,de même que,833.0
Conj,de même qu’,44.0
Prep,de nature à,1130.0
Adv,de nouveau,408.0
Adj,de nuit,85.0
Prep,de par,261.0
Adv,de part en part,8.0
Adv,de part et d'autre,46.0
Prep,de part et d'autre d',11.0
Prep,de part et d'autre de,44.0
Prep,de part et d'autre des,17.0
Prep,de part et d'autre du,27.0
Adv,de part et d’autre,7.0
Prep,de part et d’autre de,15.0
Prep,de part et d’autre des,5.0
Prep,de part et d’autre du,2.0
Prep,de part et d’autre d’,2.0
Adv,de peu,23.0
Prep,de peur de,1.0
Prep,de peur d’,1.0
Conj,de peur que,3.0
Adv,de plain-pied,5.0
Adv,de plein fouet,4.0
Adv,de plus,2428.0
Adv,de plus en plus,700.0
Adv,de prime abord,10.0
Adv,de son côté,43.0
Adv,de son plein gré,7.0
Adv,de son temps,13.0
Conj,de sorte qu',225.0
Conj,de sorte que,553.0
Conj,de sorte qu’,46.0
Adv,de suite,46.0
Conj,de telle façon qu',97.0
Conj,de telle façon que,165.0
Conj,de telle façon qu’,9.0
Conj,de telle manière qu',110.0
Conj,de telle manière que,205.0
Conj,de telle manière qu’,9.0
Conj,de telle sorte qu',213.0
Conj,de telle sorte que,401.0
Conj,de telle sorte qu’,30.0
Adv,de temps en temps,35.0
Adv,de temps à autre,51.0
Adv,de tous côtés,7.0
Adv,de toute façon,94.0
Adv,de toute évidence,71.0
Adv,de visu,3.0
Adv,de vive voix,6.0
Adv,depuis lors,195.0
Adv,depuis peu,29.0
Conj,depuis qu',16.0
Conj,depuis que,67.0
Adv,depuis quelque temps,6.0
Conj,depuis qu’,5.0
Pron,des leurs,6.0
Pron,des siennes,1.0
Adv,deux par deux,2.0
Prep,du côté d',3.0
Prep,du côté de,87.0
Prep,du côté des,39.0
Prep,du côté du,32.0
Prep,du fait d',154.0
Prep,du fait de,1113.0
Prep,du fait des,309.0
Prep,du fait du,169.0
Prep,du fait d’,22.0
Conj,du fait qu',313.0
Conj,du fait que,1040.0
Conj,du fait qu’,64.0
Prep,du haut d',1.0
Prep,du haut de,7.0
Prep,du haut du,8.0
Pron,du leur,1.0
Adv,du moins,219.0
Conj,du moment où,22.0
Conj,du moment qu',3.0
Conj,du moment que,5.0
Adv,du même coup,13.0
Prep,du point de vue d',7.0
Prep,du point de vue de,443.0
Prep,du point de vue des,156.0
Prep,du point de vue du,104.0
Prep,du point de vue d’,1.0
Adv,du reste,180.0
Pron,du sien,2.0
Adv,d’année en année,6.0
Adv,d’autant moins,1.0
Adv,d’autant plus,57.0
Conj,d’autant plus que,14.0
Conj,d’autant plus qu’,7.0
Conj,d’autant que,11.0
Conj,d’autant qu’,3.0
Adv,d’autre part,629.0
Adv,d’ici là,4.0
Adv,d’ores et déjà,62.0
Prep,d’un bout à l’autre de,4.0
Prep,d’un bout à l’autre du,1.0
Adv,d’un commun accord,113.0
Adv,d’une façon générale,21.0
Adv,d’une manière générale,112.0
Adv,d’une part,613.0
Adv,d´ores et déjà,1.0
Conj,dès l'instant où,2.0
Adv,dès lors,3315.0
Conj,dès lors qu',344.0
Conj,dès lors que,721.0
Conj,dès lors qu’,58.0
Conj,dès l’instant où,4.0
Conj,dès qu',343.0
Conj,dès que,1241.0
Conj,dès qu’,40.0
Adv,dès à présent,116.0
Adv,en abondance,4.0
Prep,en amont d',5.0
Prep,en amont de,57.0
Prep,en amont des,24.0
Prep,en amont du,37.0
Adv,en arrière,47.0
Prep,en arrière d',4.0
Prep,en arrière de,15.0
Prep,en arrière des,7.0
Prep,en arrière du,20.0
Conj,en attendant qu',27.0
Conj,en attendant que,63.0
Conj,en attendant qu’,3.0
Adv,en aucun cas,710.0
Adv,en aucune façon,93.0
Prep,en aval d',7.0
Prep,en aval de,80.0
Prep,en aval des,12.0
Prep,en aval du,47.0
Prep,en aval d’,1.0
Adv,en avance,7.0
Adv,en avant,155.0
Prep,en avant d',3.0
Prep,en avant de,32.0
Prep,en avant des,11.0
Prep,en avant du,31.0
Adv,en bas,101.0
Prep,en bas de,96.0
Prep,en bas du,3.0
Adv,en bloc,27.0
Prep,en bordure d',1.0
Prep,en bordure de,9.0
Adv,en bref,24.0
Prep,en cas d',1938.0
Prep,en cas de,4238.0
Adv,en cas de besoin,269.0
Prep,en cas d’,378.0
Prep,en ce qui concerne,9840.0
Adv,en ce sens,380.0
Conj,en ce sens qu',200.0
Conj,en ce sens que,215.0
Conj,en ce sens qu’,31.0
Adv,en commun,676.0
Prep,en compagnie de,4.0
Prep,en conformité avec,1532.0
Adv,en connaissance de cause,98.0
Prep,en considération d',33.0
Prep,en considération de,84.0
Prep,en considération des,157.0
Prep,en considération du,21.0
Prep,en considération d’,7.0
Adv,en conséquence,4871.0
Prep,en conséquence d',62.0
Prep,en conséquence de,183.0
Prep,en conséquence des,23.0
Prep,en conséquence du,4.0
Prep,en conséquence d’,28.0
Adv,en contrebas,2.0
Prep,en cours d',405.0
Prep,en cours de,697.0
Prep,en cours des,26.0
Prep,en cours du,23.0
Prep,en cours d’,127.0
Adv,en croix,3.0
Adv,en d'autres termes,165.0
Prep,en dehors d',62.0
Prep,en dehors de,894.0
Prep,en dehors des,459.0
Prep,en dehors du,408.0
Prep,en dehors d’,11.0
Adv,en deçà,33.0
Prep,en deçà d',5.0
Prep,en deçà de,116.0
Prep,en deçà des,37.0
Prep,en deçà du,27.0
Prep,en deçà d’,2.0
Prep,en direction d',11.0
Prep,en direction de,52.0
Prep,en direction des,29.0
Prep,en direction du,30.0
Prep,en direction d’,2.0
Adv,en d’autres termes,62.0
Adv,en définitive,118.0
Prep,en dépit d',45.0
Prep,en dépit de,225.0
Prep,en dépit des,221.0
Prep,en dépit du,70.0
Prep,en dépit d’,18.0
Adv,en effet,1252.0
Adv,en entier,22.0
Adv,en face,6.0
Prep,en face d',5.0
Prep,en face de,10.0
Prep,en face des,26.0
Prep,en face du,10.0
Prep,en faveur d',429.0
Prep,en faveur de,1496.0
Prep,en faveur des,1323.0
Prep,en faveur du,543.0
Prep,en faveur d’,128.0
Prep,en fin d',64.0
Prep,en fin de,150.0
Adv,en fin de compte,108.0
Prep,en fin d’,26.0
Prep,en fonction d',82.0
Prep,en fonction de,2253.0
Prep,en fonction des,1534.0
Prep,en fonction du,849.0
Prep,en fonction d’,28.0
Prep,en forme d',24.0
Prep,en forme de,80.0
Prep,en forme des,7.0
Prep,en forme du,8.0
Prep,en forme d’,4.0
Adv,en grand,14.0
Prep,en guise d',11.0
Prep,en guise de,23.0
Prep,en guise d’,8.0
Adv,en général,1085.0
Adv,en harmonie,32.0
Adv,en haut,39.0
Prep,en haut de,19.0
Prep,en haut des,1.0
Prep,en haut du,3.0
Adv,en instance,64.0
Prep,en instance de,7.0
Prep,en instance d’,1.0
Adv,en kit,5.0
Prep,en l'absence d',791.0
Prep,en l'absence de,782.0
Prep,en l'absence des,23.0
Prep,en l'absence du,40.0
Prep,en l'absence d’,6.0
Adv,en l'occurrence,315.0
Prep,en l’absence d',6.0
Prep,en l’absence de,171.0
Prep,en l’absence des,6.0
Prep,en l’absence du,10.0
Prep,en l’absence d’,129.0
Adv,en l’occurrence,86.0
Adv,en moins,134.0
Adv,en moyenne,581.0
Prep,en mémoire de,5.0
Adv,en même temps,597.0
Prep,en même temps qu',88.0
Prep,en même temps que,539.0
Prep,en même temps qu’,14.0
Adv,en ordre dispersé,5.0
Adv,en outre,4555.0
Adv,en pareil cas,251.0
Adv,en partance,10.0
Adv,en particulier,4771.0
Adv,en partie,1386.0
Prep,en passe d',10.0
Prep,en passe de,17.0
Prep,en passe d’,4.0
Adv,en permanence,537.0
Adv,en peu de temps,14.0
Adv,en plein air,70.0
Adv,en plus,222.0
Prep,en plus d',39.0
Prep,en plus de,322.0
Prep,en plus des,328.0
Prep,en plus du,134.0
Prep,en plus d’,17.0
Adv,en pratique,379.0
Adv,en principe,1090.0
Adv,en priorité,357.0
Prep,en présence d',161.0
Prep,en présence de,180.0
Prep,en présence des,23.0
Prep,en présence du,47.0
Prep,en présence d’,22.0
Adv,en public,4.0
Prep,en qualité d',311.0
Prep,en qualité de,240.0
Prep,en qualité d’,53.0
Adv,en quelque sorte,9.0
Adv,en quelques jours,4.0
Prep,en raison d',412.0
Prep,en raison de,2314.0
Prep,en raison des,902.0
Prep,en raison du,602.0
Prep,en raison d’,105.0
Adv,en rase campagne,3.0
Prep,en regard d',3.0
Prep,en regard de,93.0
Prep,en regard des,41.0
Prep,en regard du,35.0
Adv,en revanche,701.0
Adv,en rien,286.0
Adv,en règle générale,585.0
Adv,en réalité,221.0
Adv,en résumé,58.0
Adv,en secret,2.0
Adv,en semaine,8.0
Adv,en somme,13.0
Conj,en sorte qu',108.0
Conj,en sorte que,1001.0
Conj,en sorte qu’,28.0
Adv,en surplomb,3.0
Adv,en série,96.0
Prep,en tant qu',1257.0
Prep,en tant que,2783.0
Prep,en tant qu’,272.0
Adv,en temps réel,146.0
Adv,en temps voulu,279.0
Adv,en théorie,41.0
Adv,en titre,5.0
