libname,memname,memtype,dbms_memtype,engine,index,path
MAPS,LATVIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LEBANON,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LEBANON2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LIBYA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LIBYA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LIECHTE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LIECHTEN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LITHUAN2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LITHUANI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LUXEMBO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,LUXEMBOU,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MACAU,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MACAU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MACEDON2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MACEDONI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MALAYSI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MALAYSIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,METAMAPS,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MEXICO,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MEXICO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MOLDOVA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MOLDOVA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONACO,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONACO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONGOLI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONGOLIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONTENE2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MONTENEG,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MOROCCO,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MOROCCO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MYANMAR,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,MYANMAR2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NAMERIC2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NAMERICA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NAMES,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NEPAL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NEPAL2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NICARAG2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NICARAGU,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NIGERIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NIGERIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NORWAY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NORWAY2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NTLANDS,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NTLANDS2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NZ,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,NZ2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,OCEANIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,OCEANIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ODESC,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ODESCE,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,OSAKA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PAKISTA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PAKISTAN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PANAMA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PANAMA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PARAGUA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PARAGUAY,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PERU,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PERU2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PHILIPP2,DATA,,V9,yes,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PHILIPPI,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,POLAND,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,POLAND2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PORTUGA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,PORTUGAL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ROMANIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,ROMANIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,RUSSIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,RUSSIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SALVADO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SALVADOR,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SAMERIC2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SAMERICA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SANMARI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SANMARIN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SAUDIAR2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SAUDIARA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SERBIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SERBIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SINGAPO2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SINGAPOR,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SLOVAKI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SLOVAKIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SLOVENI2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SLOVENIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SPACIFIC,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SPAIN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SPAIN2,DATA,,V9,yes,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SRILANK2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SRILANKA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,STATES,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SURINAM2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SURINAME,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SWEDEN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SWEDEN2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SWITZER2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SWITZERL,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SYRIA,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,SYRIA2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,TAIWAN,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
MAPS,TAIWAN2,DATA,,V9,no,/pbr/sfw/sas/940/SASFoundation/9.4/maps
