Term,Role
čtyřiaosmdesátý,Num
čtyřiapadesát,Num
čtyřiapadesátý,Num
čtyřiasedmdesát,Num
čtyřiasedmdesátý,Num
čtyřiatřicet,Num
čtyřiatřicátý,Num
čtyřiačtyřicet,Num
čtyřiačtyřicetiletý,Num
čtyřiašedesát,Num
čtyřiašedesátý,Num
čtyřicet,Num
čtyřicetiletý,Num
čtyřista,Num
čtyřkilometrový,Num
čí,Pron
číkoli,Pron
číkoliv,Pron
čímže,Pron
čínsky,Pron
čísi,Pron
číslicově,Pron
ńam,Interj
ńam,Pron
Ňam,Interj
ř,Prep
ŠedesÁt,Num
Šedesát,Num
Šest,Num
ŠestadevadesÁt,Num
Šestadevadesát,Num
Šestadvacet,Num
ŠestaosmdesÁt,Num
Šestaosmdesát,Num
ŠestapadesÁt,Num
Šestapadesát,Num
ŠestasedmdesÁt,Num
Šestasedmdesát,Num
ŠestatŘicet,Num
Šestatřicet,Num
ŠestaČtyŘicet,Num
Šestačtyřicet,Num
ŠestaŠedesÁt,Num
Šestašedesát,Num
ŠestnÁct,Num
ŠestnÁctset,Num
Šestnáct,Num
Šestnáctset,Num
Šestset,Num
Škyt,Interj
Šup,Interj
š,Conj
šedesát,Num
šedesátiletý,Num
šest,Num
šestadevadesát,Num
šestadevadesátý,Num
šestadvacet,Num
šestadvacátý,Num
šestaosmdesát,Num
šestaosmdesátiletý,Num
šestapadesát,Num
šestapadesátý,Num
šestasedmdesát,Num
šestasedmdesátý,Num
šestatřicet,Num
šestatřicetiletý,Num
šestačtyřicet,Num
šestačtyřicátý,Num
šestašedesát,Num
šestašedesátý,Num
šestnáct,Num
šestnáctiletý,Num
šestnáctset,Num
šestnáctý,Num
šestset,Num
šesták,Num
šmik,Interj
španělsky,Interj
Ťuk,Interj
ŽbluŇk,Interj
Žbluňk,Interj
Že,Conj
ž,Conj
že,Interj
