unicode,euc,ibm,pcibm
U+AC78,B0C9,88E9,8667
U+AC80,B0CB,88F1,8669
U+AC20,B0CC,88F3,866A
U+AC20,B0CD,88F5,866B
U+AC20,B0CE,88F6,866C
U+AC20,B0CF,88F7,866D
U+AC20,B0D0,88F8,866E
U+AC20,B0D1,88FB,8670
U+AC20,B0D2,88FC,8671
U+AC20,B0D3,88FD,8672
U+AC20,B0D4,8941,8673
U+AC20,B0D5,8945,8674
U+AC20,B0D6,8949,8676
U+AC20,B0D7,8951,8677
U+AC20,B0D8,8953,8678
U+AC20,B0D9,8955,8679
U+ACA0,B0DA,8956,867A
U+ACA1,B0DB,8957,867B
U+ACA8,B0DC,8961,867C
U+ACA9,B0DD,8962,867D
U+ACAA,B0DE,8963,867E
U+ACAC,B0DF,8965,8680
U+ACAF,B020,8968,8681
U+ACB0,B020,8969,8682
U+ACB8,B020,8971,8683
U+ACB9,B020,8973,8684
U+ACBB,B020,8975,8685
U+ACBC,B020,8976,8686
U+ACBD,B020,8977,8687
U+ACC1,B020,897B,8688
U+ACC4,B020,8981,8689
U+ACD7,B020,8995,868A
U+AC20,B020,89A1,868B
U+AC20,B020,89A2,868C
U+AC20,B020,89A5,868D
U+AC20,B020,89A8,868E
U+AC20,B020,89A9,868F
U+AC20,B020,89AB,8691
U+AC20,B020,89AD,8692
U+AC20,B020,89B0,8693
U+AC20,B020,89B1,8694
U+AC20,B020,89B3,8695
U+AC20,B020,89B5,8696
U+AC20,B020,89B7,8697
U+AC20,B020,89B8,8698
U+AC20,B020,89C1,869A
U+ACFD,B020,89C2,869B
U+AD00,B020,89C5,869C
U+AD04,B0FD,89C9,869D
U+AD0D,B1A2,89D3,869F
U+AD0F,B1A3,89D5,86A0
U+AD11,B1A4,89D7,86A1
U+AD18,B1A5,89E1,86A2
U+AD1C,B1A6,89E5,86A4
U+AD20,B1A7,89E9,86A5
U+AD29,B1A8,89F3,86A7
U+AD2D,B1AA,89F7,86A9
U+AD34,B1AB,8A41,86AA
U+AD35,B1AC,8A42,86AB
U+AD38,B1AD,8A45,86AC
U+AD3C,B1AE,8A49,86AD
U+AD44,B1AF,8A51,86AE
U+AD47,B1B1,8A55,86AF
U+AD49,B1B2,8A57,86B0
U+AD50,B1B3,8A61,86B1
U+AD58,B1B5,8A69,86B2
U+AD6C,B1B8,8A81,86B3
U+AD6D,B1B9,8A82,86B4
U+AD70,B1BA,8A85,86B5
U+AD73,B1BB,8A88,86B6
U+AD74,B1BC,8A89,86B7
U+AD75,B1BD,8A8A,86B8
U+AD76,B1BE,8A8B,86B9
U+AD7B,B1BF,8A90,86BA
U+AD7C,B1C0,8A91,86BB
U+AD7D,B1C1,8A93,86BC
U+AD7F,B1C2,8A95,86BD
U+AD20,B1C3,8A97,86BE
U+AD20,B1C4,8A98,86BF
U+AD20,B1C5,8AA1,86C0
U+AD20,B1C6,8AA2,86C1
U+AD20,B1C7,8AA5,86C2
U+AD20,B1C8,8AA9,86C3
U+ADA4,B1CB,8AC1,86C5
U+ADC0,B1CD,8AE1,86C6
U+ADC1,B1CE,8AE2,86C7
U+ADC4,B1CF,8AE5,86C8
U+ADC8,B1D0,8AE9,86C9
U+ADD0,B1D1,8AF1,86CA
U+ADD1,B1D2,8AF3,86CB
U+ADD3,B1D3,8AF5,86CC
U+ADDC,B1D4,8B41,86CE
U+AD20,B1D5,8B45,86CF
U+AD20,B1D6,8B49,86D0
U+AD20,B1D7,8B61,86D2
U+AD20,B1D8,8B62,86D3
U+AD20,B1D9,8B65,86D4
U+ADFF,B1DA,8B68,86D5
U+AE00,B1DB,8B69,86D6
U+AE01,B1DC,8B6A,86D7
U+AE08,B1DD,8B71,86D9
U+AE09,B1DE,8B73,86DA
U+AE0B,B1DF,8B75,86DB
U+AE0D,B120,8B77,86DC
U+AE14,B120,8B81,86DF
U+AE30,B120,8BA1,86E1
U+AE31,B120,8BA2,86E2
U+AE34,B120,8BA5,86E3
U+AE37,B120,8BA8,86E4
U+AE38,B120,8BA9,86E5
U+AE40,B120,8BB1,86E7
U+AE41,B120,8BB3,86E8
U+AE43,B120,8BB5,86E9
U+AE45,B120,8BB7,86EB
U+AE46,B120,8BB8,86EC
U+AE4A,B120,8BBC,86EE
U+AE4C,B120,8C61,86EF
U+AE4D,B120,8C62,86F0
U+AE4E,B120,8C63,86F1
U+AE50,B120,8C65,86F2
U+AE54,B120,8C69,86F3
U+AE5C,B120,8C71,86F4
U+AE5D,B120,8C73,86F5
U+AE5F,B120,8C75,86F6
U+AE60,B120,8C76,86F7
U+AE61,B120,8C77,86F8
U+AE65,B120,8C7B,86FA
U+AE68,B120,8C81,86FB
U+AE69,B120,8C82,86FC
U+AE6C,B120,8C85,8740
U+AE70,B1FD,8C89,8741
U+AE78,B1FE,8C91,8742
U+AE79,B2A1,8C93,8743
U+AE7B,B2A2,8C95,8744
U+AE7C,B2A3,8C96,8745
U+AE7D,B2A4,8C97,8746
U+AE20,B2A5,8CA1,8747
U+AE20,B2A6,8CA2,8748
U+AEBC,B2A8,8CE1,874A
U+AEBD,B2A9,8CE2,874B
U+AEBE,B2AA,8CE3,874C
U+AEC0,B2AB,8CE5,874D
U+AEC4,B2AC,8CE9,874E
U+AECC,B2AD,8CF1,874F
U+AECD,B2AE,8CF3,8750
U+AECF,B2AF,8CF5,8751
U+AED0,B2B0,8CF6,8752
U+AED1,B2B1,8CF7,8753
U+AED8,B2B2,8D41,8754
U+AED9,B2B3,8D42,8755
U+AEDC,B2B4,8D45,8756
U+AE20,B2B5,8D51,8757
U+AE20,B2B6,8D55,8758
U+AE20,B2B7,8D57,8759
U+AE20,B2B8,8D61,875A
U+AE20,B2BA,8D69,875B
U+AF07,B2BB,8D75,875D
U+AF08,B2BC,8D76,875E
U+AF0D,B2BD,8D7B,875F
U+AF10,B2BE,8D81,8760
U+AF2C,B2BF,8DA1,8761
U+AF2D,B2C0,8DA2,8762
U+AF30,B2C1,8DA5,8763
U+AF32,B2C2,8DA7,8764
U+AF34,B2C3,8DA9,8766
U+AF3C,B2C4,8DB1,8767
U+AF3D,B2C5,8DB3,8768
U+AF3F,B2C6,8DB5,8769
U+AF41,B2C7,8DB7,876A
U+AF42,B2C8,8DB8,876B
U+AF43,B2C9,8DB9,876C
U+AF48,B2CA,8DC1,876D
U+AF49,B2CB,8DC2,876E
U+AF50,B2CC,8DC9,8770
U+AF5C,B2CD,8DD6,8773
U+AF5D,B2CE,8DD7,8774
U+AF64,B2CF,8DE1,8775
U+AF65,B2D0,8DE2,8776
U+AF79,B2D1,8DF7,8778
U+AF80,B2D2,8E41,8779
U+AF20,B2D3,8E45,877A
U+AF20,B2D4,8E49,877B
U+AF20,B2D5,8E51,877C
U+AF20,B2D7,8E57,877E
U+AF20,B2D8,8E61,8780
U+AFB8,B2D9,8E81,8782
U+AFB9,B2DA,8E82,8783
U+AFBC,B2DB,8E85,8784
U+AFC0,B2DC,8E89,8786
U+AFC7,B2DD,8E90,8787
U+AFC8,B2DE,8E91,8788
U+AFC9,B2DF,8E93,8789
U+AFCB,B220,8E95,878A
U+AFCD,B220,8E97,878B
U+AFCE,B220,8E98,878C
U+AFD4,B220,8EA1,878D
U+AFDC,B220,8EA9,878F
U+AF20,B220,8EB6,8791
U+AF20,B220,8EB7,8792
U+AF20,B220,8EC1,8793
U+AF20,B220,8EC2,8794
U+AF20,B220,8EC5,8795
U+AF20,B220,8EC9,8796
U+B000,B220,8ED1,8797
U+B00C,B220,8EE1,8798
U+B010,B220,8EE5,879A
U+B014,B220,8EE9,879B
U+B01C,B220,8EF1,879C
U+B01D,B220,8EF3,879D
U+B028,B220,8F41,879F
U+B044,B220,8F61,87A0
U+B045,B220,8F62,87A1
U+B048,B220,8F65,87A2
U+B04A,B220,8F67,87A3
U+B04C,B220,BF69,87A4
U+B04E,B220,8F6B,87A5
U+B053,B220,8F70,87A6
U+B054,B220,8F71,87A7
U+B055,B220,8F73,87A8
U+B057,B2FD,8F75,87A9
U+B059,B2FE,8F77,87AA
U+B05D,B3A1,8F7B,87AB
U+B07C,B3A2,8FA1,87AD
U+B07D,B3A3,8FA2,87AE
U+B080,B3A4,8FA5,87AF
U+B020,B3A5,8FA9,87B0
U+B020,B3A6,8FB1,87B1
U+B020,B3A7,8FB3,87B2
U+B020,B3A8,8FB5,87B3
U+B020,B3A9,8FB7,87B5
U+B020,B3AA,9061,87B6
U+B020,B3AB,9062,87B7
U+B020,B3AC,9063,87B8
U+B020,B3AD,9065,87B9
U+B020,B3AE,9068,87BA
U+B0A0,B3AF,9069,87BB
U+B0A1,B3B0,906A,87BC
U+B0A8,B3B2,9071,87BD
U+B0A9,B3B3,9073,87BE
U+B0AB,B3B4,9075,87BF
U+B0AC,B3B5,9076,87C0
U+B0AD,B3B6,9077,87C1
U+B0AE,B3B7,9078,87C2
U+B0AF,B3B8,9079,87C3
U+B0B1,B3B9,907B,87C4
U+B0B3,B3BA,907D,87C5
U+B0B4,B3BB,9081,87C6
U+B0B5,B3BC,9082,87C7
U+B0B8,B3BD,9085,87C8
U+B0BC,B3BE,9089,87CA
U+B0C4,B3BF,9091,87CB
U+B0C5,B3C0,9093,87CC
U+B0C7,B3C1,9095,87CD
U+B0C8,B3C2,9096,87CE
U+B0C9,B3C3,9097,87CF
U+B0D0,B3C4,90A1,87D0
U+B0D1,B3C5,90A2,87D1
U+B0D4,B3C6,90A5,87D2
