libname,memname,memtype
MAPSGFK,FRANCE_ALL,DATA
MAPSGFK,FRANCE_ALL_ATTR,DATA
MAPSGFK,FRANCE_ATTR,DATA
MAPSGFK,FRENCH_GUIANA,DATA
MAPSGFK,FRENCH_GUIANA_ATTR,DATA
MAPSGFK,GABON,DATA
MAPSGFK,GABON_ATTR,DATA
MAPSGFK,GAMBIA,DATA
MAPSGFK,GAMBIA_ATTR,DATA
MAPSGFK,GEORGIA,DATA
MAPSGFK,GEORGIA_ATTR,DATA
MAPSGFK,GERMANY,DATA
MAPSGFK,GERMANY_ATTR,DATA
MAPSGFK,GHANA,DATA
MAPSGFK,GHANA_ATTR,DATA
MAPSGFK,GIBRALTAR,DATA
MAPSGFK,GIBRALTAR_ATTR,DATA
MAPSGFK,GREECE,DATA
MAPSGFK,GREECE_ATTR,DATA
MAPSGFK,GREENLAND,DATA
MAPSGFK,GREENLAND_ATTR,DATA
MAPSGFK,GUATEMALA,DATA
MAPSGFK,GUATEMALA_ATTR,DATA
MAPSGFK,GUERNSEY,DATA
MAPSGFK,GUERNSEY_ATTR,DATA
MAPSGFK,GUINEA,DATA
MAPSGFK,GUINEA_ATTR,DATA
MAPSGFK,GUINEA_BISSAU,DATA
MAPSGFK,GUINEA_BISSAU_ATTR,DATA
MAPSGFK,GUYANA,DATA
MAPSGFK,GUYANA_ATTR,DATA
MAPSGFK,HONDURAS,DATA
MAPSGFK,HONDURAS_ATTR,DATA
MAPSGFK,HUNGARY,DATA
MAPSGFK,HUNGARY_ATTR,DATA
MAPSGFK,ICELAND,DATA
MAPSGFK,ICELAND_ATTR,DATA
MAPSGFK,INDIA,DATA
MAPSGFK,INDIA_ATTR,DATA
MAPSGFK,INDONESIA,DATA
MAPSGFK,INDONESIA_ATTR,DATA
MAPSGFK,IRAN,DATA
MAPSGFK,IRAN_ATTR,DATA
MAPSGFK,IRAQ,DATA
MAPSGFK,IRAQ_ATTR,DATA
MAPSGFK,IRELAND,DATA
MAPSGFK,IRELAND_ATTR,DATA
MAPSGFK,ISLE_OF_MAN,DATA
MAPSGFK,ISLE_OF_MAN_ATTR,DATA
MAPSGFK,ISRAEL,DATA
MAPSGFK,ISRAEL_ATTR,DATA
MAPSGFK,ITALY,DATA
MAPSGFK,ITALY_ATTR,DATA
MAPSGFK,IVORY_COAST,DATA
MAPSGFK,IVORY_COAST_ATTR,DATA
MAPSGFK,JAPAN,DATA
MAPSGFK,JAPAN_ATTR,DATA
MAPSGFK,JERSEY,DATA
MAPSGFK,JERSEY_ATTR,DATA
MAPSGFK,JORDAN,DATA
MAPSGFK,JORDAN_ATTR,DATA
MAPSGFK,KAZAKHSTAN,DATA
MAPSGFK,KAZAKHSTAN_ATTR,DATA
MAPSGFK,KENYA,DATA
MAPSGFK,KENYA_ATTR,DATA
MAPSGFK,KOSOVO,DATA
MAPSGFK,KOSOVO_ATTR,DATA
MAPSGFK,KUWAIT,DATA
MAPSGFK,KUWAIT_ATTR,DATA
MAPSGFK,KYRGYZSTAN,DATA
MAPSGFK,KYRGYZSTAN_ATTR,DATA
MAPSGFK,LAOS,DATA
MAPSGFK,LAOS_ATTR,DATA
MAPSGFK,LATVIA,DATA
MAPSGFK,LATVIA_ATTR,DATA
MAPSGFK,LEBANON,DATA
MAPSGFK,LEBANON_ATTR,DATA
MAPSGFK,LESOTHO,DATA
MAPSGFK,LESOTHO_ATTR,DATA
MAPSGFK,LIBERIA,DATA
MAPSGFK,LIBERIA_ATTR,DATA
MAPSGFK,LIBYA,DATA
MAPSGFK,LIBYA_ATTR,DATA
MAPSGFK,LIECHTENSTEIN,DATA
MAPSGFK,LIECHTENSTEIN_ATTR,DATA
MAPSGFK,LITHUANIA,DATA
MAPSGFK,LITHUANIA_ATTR,DATA
MAPSGFK,LUXEMBOURG,DATA
MAPSGFK,LUXEMBOURG_ATTR,DATA
MAPSGFK,MACEDONIA,DATA
MAPSGFK,MACEDONIA_ATTR,DATA
MAPSGFK,MADAGASCAR,DATA
MAPSGFK,MADAGASCAR_ATTR,DATA
MAPSGFK,MALAWI,DATA
MAPSGFK,MALAWI_ATTR,DATA
MAPSGFK,MALAYSIA,DATA
MAPSGFK,MALAYSIA_ATTR,DATA
MAPSGFK,MALDIVES,DATA
MAPSGFK,MALDIVES_ATTR,DATA
MAPSGFK,MALI,DATA
MAPSGFK,MALI_ATTR,DATA
MAPSGFK,MALTA,DATA
MAPSGFK,MALTA_ATTR,DATA
MAPSGFK,MAURITANIA,DATA
MAPSGFK,MAURITANIA_ATTR,DATA
MAPSGFK,MAURITIUS,DATA
MAPSGFK,MAURITIUS_ATTR,DATA
MAPSGFK,MAYOTTE,DATA
MAPSGFK,MAYOTTE_ATTR,DATA
MAPSGFK,MEXICO,DATA
MAPSGFK,MEXICO_ATTR,DATA
MAPSGFK,MOLDOVA,DATA
MAPSGFK,MOLDOVA_ATTR,DATA
MAPSGFK,MONACO,DATA
MAPSGFK,MONACO_ATTR,DATA
MAPSGFK,MONGOLIA,DATA
MAPSGFK,MONGOLIA_ATTR,DATA
MAPSGFK,MONTENEGRO,DATA
MAPSGFK,MONTENEGRO_ATTR,DATA
MAPSGFK,MOROCCO,DATA
MAPSGFK,MOROCCO_ATTR,DATA
MAPSGFK,MOZAMBIQUE,DATA
MAPSGFK,MOZAMBIQUE_ATTR,DATA
MAPSGFK,MYANMAR,DATA
MAPSGFK,MYANMAR_ATTR,DATA
MAPSGFK,NAMERICA,DATA
MAPSGFK,NAMERICA1,DATA
MAPSGFK,NAMERICA1_ATTR,DATA
MAPSGFK,NAMERICA2,DATA
MAPSGFK,NAMERICA2_ATTR,DATA
MAPSGFK,NAMERICA_ATTR,DATA
MAPSGFK,NAMIBIA,DATA
MAPSGFK,NAMIBIA_ATTR,DATA
MAPSGFK,NEPAL,DATA
MAPSGFK,NEPAL_ATTR,DATA
MAPSGFK,NETHERLANDS,DATA
MAPSGFK,NETHERLANDS_ALL,DATA
MAPSGFK,NETHERLANDS_ALL_ATTR,DATA
MAPSGFK,NETHERLANDS_ATTR,DATA
MAPSGFK,NICARAGUA,DATA
MAPSGFK,NICARAGUA_ATTR,DATA
MAPSGFK,NIGER,DATA
MAPSGFK,NIGERIA,DATA
MAPSGFK,NIGERIA_ATTR,DATA
MAPSGFK,NIGER_ATTR,DATA
MAPSGFK,NORTH_KOREA,DATA
MAPSGFK,NORTH_KOREA_ATTR,DATA
MAPSGFK,NORWAY,DATA
MAPSGFK,NORWAY_ALL,DATA
MAPSGFK,NORWAY_ALL_ATTR,DATA
MAPSGFK,NORWAY_ATTR,DATA
MAPSGFK,NZ,DATA
MAPSGFK,NZ_ATTR,DATA
MAPSGFK,OCEANIA,DATA
MAPSGFK,OCEANIA1,DATA
MAPSGFK,OCEANIA1_ATTR,DATA
MAPSGFK,OCEANIA2,DATA
MAPSGFK,OCEANIA2_ATTR,DATA
MAPSGFK,OCEANIA_ATTR,DATA
MAPSGFK,OMAN,DATA
MAPSGFK,OMAN_ATTR,DATA
MAPSGFK,PAKISTAN,DATA
MAPSGFK,PAKISTAN_ATTR,DATA
MAPSGFK,PANAMA,DATA
MAPSGFK,PANAMA_ATTR,DATA
MAPSGFK,PAPUA_NEW_GUINEA,DATA
MAPSGFK,PAPUA_NEW_GUINEA_ATTR,DATA
MAPSGFK,PARAGUAY,DATA
MAPSGFK,PARAGUAY_ATTR,DATA
MAPSGFK,PERU,DATA
MAPSGFK,PERU_ATTR,DATA
MAPSGFK,PHILIPPINES,DATA
MAPSGFK,PHILIPPINES_ATTR,DATA
MAPSGFK,POLAND,DATA
MAPSGFK,POLAND_ATTR,DATA
MAPSGFK,PORTUGAL,DATA
MAPSGFK,PORTUGAL_ATTR,DATA
MAPSGFK,PROJPARM,DATA
MAPSGFK,QATAR,DATA
MAPSGFK,QATAR_ATTR,DATA
MAPSGFK,README,DATA
MAPSGFK,REUNION,DATA
MAPSGFK,REUNION_ATTR,DATA
MAPSGFK,ROMANIA,DATA
MAPSGFK,ROMANIA_ATTR,DATA
MAPSGFK,RUSSIA,DATA
MAPSGFK,RUSSIA_ATTR,DATA
MAPSGFK,RWANDA,DATA
MAPSGFK,RWANDA_ATTR,DATA
MAPSGFK,SAMERICA,DATA
MAPSGFK,SAMERICA1,DATA
MAPSGFK,SAMERICA1_ATTR,DATA
MAPSGFK,SAMERICA2,DATA
MAPSGFK,SAMERICA2_ATTR,DATA
MAPSGFK,SAMERICA_ATTR,DATA
MAPSGFK,SAN_MARINO,DATA
MAPSGFK,SAN_MARINO_ATTR,DATA
MAPSGFK,SAO_TOME_PRINCIPE,DATA
MAPSGFK,SAO_TOME_PRINCIPE_ATTR,DATA
MAPSGFK,SAUDI_ARABIA,DATA
MAPSGFK,SAUDI_ARABIA_ATTR,DATA
MAPSGFK,SENEGAL,DATA
MAPSGFK,SENEGAL_ATTR,DATA
MAPSGFK,SERBIA,DATA
MAPSGFK,SERBIA_ATTR,DATA
MAPSGFK,SEYCHELLES,DATA
MAPSGFK,SEYCHELLES_ATTR,DATA
MAPSGFK,SIERRA_LEONE,DATA
MAPSGFK,SIERRA_LEONE_ATTR,DATA
MAPSGFK,SINGAPORE,DATA
MAPSGFK,SINGAPORE_ATTR,DATA
MAPSGFK,SLOVAKIA,DATA
MAPSGFK,SLOVAKIA_ATTR,DATA
MAPSGFK,SLOVENIA,DATA
MAPSGFK,SLOVENIA_ATTR,DATA
MAPSGFK,SOMALIA,DATA
MAPSGFK,SOMALIA_ATTR,DATA
MAPSGFK,SOUTH_AFRICA,DATA
MAPSGFK,SOUTH_AFRICA_ATTR,DATA
MAPSGFK,SOUTH_GEORGIA_ISLANDS,DATA
MAPSGFK,SOUTH_GEORGIA_ISLANDS_ATTR,DATA
MAPSGFK,SOUTH_KOREA,DATA
MAPSGFK,SOUTH_KOREA_ATTR,DATA
MAPSGFK,SOUTH_SUDAN,DATA
MAPSGFK,SOUTH_SUDAN_ATTR,DATA
MAPSGFK,SPAIN,DATA
MAPSGFK,SPAIN_ATTR,DATA
MAPSGFK,SRI_LANKA,DATA
MAPSGFK,SRI_LANKA_ATTR,DATA
MAPSGFK,SUDAN,DATA
MAPSGFK,SUDAN_ATTR,DATA
MAPSGFK,SURINAME,DATA
MAPSGFK,SURINAME_ATTR,DATA
MAPSGFK,SVALBARD_JAN_MAYEN_ISLANDS,DATA
MAPSGFK,SVALBARD_JAN_MAYEN_ISLANDS_ATTR,DATA
MAPSGFK,SWAZILAND,DATA
MAPSGFK,SWAZILAND_ATTR,DATA
MAPSGFK,SWEDEN,DATA
MAPSGFK,SWEDEN_ATTR,DATA
MAPSGFK,SWITZERLAND,DATA
MAPSGFK,SWITZERLAND_ATTR,DATA
MAPSGFK,SYRIA,DATA
MAPSGFK,SYRIA_ATTR,DATA
MAPSGFK,TAIWAN,DATA
MAPSGFK,TAIWAN_ATTR,DATA
MAPSGFK,TAJIKISTAN,DATA
MAPSGFK,TAJIKISTAN_ATTR,DATA
MAPSGFK,TANZANIA,DATA
MAPSGFK,TANZANIA_ATTR,DATA
MAPSGFK,THAILAND,DATA
MAPSGFK,THAILAND_ATTR,DATA
MAPSGFK,TIMOR_LESTE,DATA
MAPSGFK,TIMOR_LESTE_ATTR,DATA
MAPSGFK,TOGO,DATA
MAPSGFK,TOGO_ATTR,DATA
MAPSGFK,TUNISIA,DATA
