CLASNAME,OBJNAME,DEFCREDT,DEFMODDT,DELETED,EXPLABEL,ID,LDESC,MRACCESS,PRODFLAG,USEDFLAG,VERSION,PREDCLAS,PREDROLE,SUCCCLAS,SUCCROLE,VERB,PREDCARD,SUCCCARD
OMSassocmgr,DELETED *** DeployedComponent IS_RELATED_TO_0_N Option,1311609069.90313,,,,A0000001.A4000046,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdepcomp,ASSOCIATEDDEPLOYEDCOMPONENT,OMSoptions,OPTIONS,DELETED,0:m,0:1
OMSassocmgr,DeployedComponent USES AbstractTransformation,1357142922.628,1357142922.628,,,A0000001.A4000047,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdepcomp,COMPUTELOCATIONS,OMStransfm,COMPUTETASKS,USES,0:m,0:m
OMSassocmgr,DeployedComponent USES DeployedDataPackage,1357142922.638,1357142922.638,,,A0000001.A4000048,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdepcomp,DEPLOYEDCOMPONENTS,OMSddatapkg,DATAPACKAGES,USES,0:m,0:m
OMSassocmgr,DeployedComponent USES AbstractTransformation,1357142922.628,1357142922.628,,,A0000001.A4000049,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdepcomp,DEPLOYEDCOMPONENTS,OMStransfm,INITPROCESSES,USES,0:m,0:m
OMSassocmgr,DELETED *** DeployedComponent IS_CONTAINED_IN_0_1 InitInfo,1313334681.3797,,,,A0000001.A400004A,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdepcomp,OWNINGDEPLOYEDCOMPONENT,OMSinitinfo,INITIALIZATIONINFORMATION,DELETED,0:1,1:1
OMSassocmgr,DeployedComponent USES Connection,1357142922.638,1357142922.638,,,A0000001.A400004B,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdepcomp,PROVIDERS,OMScnction,PROVIDERCONNECTIONS,USES,0:m,0:m
OMSassocmgr,DeployedComponent USES DeployedComponent,1357142922.638,1357142922.638,,,A0000001.A400004C,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdepcomp,USEDBYCOMPONENTS,OMSdepcomp,USINGCOMPONENTS,USES,0:m,0:m
OMSassocmgr,Dimension USES Cube,1357142922.628,1357142922.628,,,A0000001.A400004D,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdim,DIMENSIONS,OMScube,CUBES,USES,0:m,0:m
OMSassocmgr,Dimension IS_CONTAINED_IN_0_N Level,1357142922.628,1357142922.628,,,A0000001.A400004E,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdim,OWNINGDIMENSION,OMSlevel,LEVELS,IS_CONTAINED_IN_0_N,0:m,1:1
OMSassocmgr,Dimension IS_CONTAINED_IN_0_N Hierarchy,1357142922.628,1357142922.628,,,A0000001.A400004F,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdim,OWNINGDIMENSION,OMSohier,HIERARCHIES,IS_CONTAINED_IN_0_N,0:m,1:1
OMSassocmgr,Dimension IS_CONTAINED_IN_0_N Measure,1357142922.628,1357142922.628,,,A0000001.A400004G,Compiled by ModelCompiler on 02JAN03 16:08,2.0,0.0,0.0,2.0,OMSdim,OWNINGDIMENSION,OMSomeasure,MEASURES,IS_CONTAINED_IN_0_N,0:m,1:1
OMSassocmgr,DELETED *** DataTable IS_RELATED_TO_0_N Option,1311609069.90284,,,,A0000001.A400004H,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdtable,ASSOCIATEDDATATABLE,OMSoptions,OPTIONS,DELETED,0:m,0:1
OMSassocmgr,DELETED *** DataTable IS_CONTAINED_IN_0_1 WATableLoadInfo,1303146197.59791,,,,A0000001.A400004I,This association template has been deleted.,2.0,0.0,0.0,2.0,OMSdtable,LOADEDTABLE,OMSwaload,WALOADINFO,DELETED,0:1,1:1
