source,fncname,minarg,maxarg,fnctype,fncargs,fncprod
B,HARMEANZ,1.0,0.0,N,9.0,X
U,HASHING,2.0,3.0,C,82.0,B
U,HASHING_FILE,2.0,3.0,C,82.0,B
U,HASHING_HMAC,3.0,4.0,C,658.0,B
U,HASHING_HMAC_FILE,3.0,4.0,C,658.0,B
U,HASHING_HMAC_INIT,2.0,2.0,N,18.0,B
U,HASHING_INIT,1.0,1.0,N,2.0,B
U,HASHING_PART,2.0,3.0,N,81.0,B
U,HASHING_TERM,1.0,1.0,C,1.0,B
B,HBOUND,2.0,3.0,N,88.0,B
B,HMS,3.0,3.0,N,73.0,X
U,HOLIDAY,2.0,3.0,N,138.0,X
U,HOLIDAYCK,3.0,4.0,N,1098.0,B
U,HOLIDAYCOUNT,1.0,2.0,N,17.0,B
U,HOLIDAYNAME,1.0,3.0,C,137.0,B
U,HOLIDAYNX,1.0,4.0,N,1098.0,B
U,HOLIDAYNY,2.0,4.0,N,1098.0,B
U,HOLIDAYTEST,1.0,3.0,N,138.0,X
B,HOUR,1.0,1.0,N,1.0,X
U,HPFSCFUN,4.0,0.0,N,650.0,B
U,HPFSCSIG,3.0,4.0,C,1162.0,B
U,HPFSCSUB,4.0,0.0,B,460175067.0,B
U,HTMLDECODE,1.0,1.0,C,2.0,B
U,HTMLENCODE,1.0,2.0,C,18.0,B
U,HWINV,3.0,3.0,N,73.0,B
U,IBESSEL,3.0,3.0,N,73.0,X
U,IFC,3.0,4.0,C,145.0,X
U,IFN,3.0,4.0,N,585.0,X
U,IMDBLEN,2.0,2.0,N,18.0,B
B,IN,2.0,0.0,N,18.0,X
B,INDEX,2.0,2.0,N,18.0,X
B,INDEXC,2.0,0.0,N,146.0,X
B,INDEXT,2.0,2.0,N,18.0,X
B,INDEXW,2.0,3.0,N,146.0,X
U,INIT,3.0,3.0,B,341.0,B
U,INMAS,0.0,0.0,N,0.0,T
B,INPUTC,2.0,4.0,C,594.0,X
B,INPUTN,2.0,4.0,N,594.0,X
U,INSERT_CATALOG,6.0,6.0,B,173201.0,B
U,INSERT_DATASET,6.0,0.0,B,306881681.0,B
U,INSERT_DMDB,6.0,6.0,B,173201.0,B
U,INSERT_FDB,6.0,6.0,B,173201.0,B
U,INSERT_FILE,7.0,10.0,B,307569809.0,B
U,INSERT_HTML,12.0,0.0,B,441001105.0,B
U,INSERT_MDDB,6.0,6.0,B,173201.0,B
U,INSERT_PACKAGE,3.0,0.0,B,9545.0,B
U,INSERT_REF,6.0,6.0,B,173201.0,B
U,INSERT_SQLVIEW,6.0,6.0,B,173201.0,B
U,INSERT_VIEWER,6.0,0.0,B,6988945.0,B
B,INT,1.0,1.0,N,1.0,X
U,INTCINDEX,2.0,2.0,N,10.0,X
U,INTCINDEXP,6.0,6.0,N,37449.0,T
U,INTCINDEXT,2.0,2.0,N,10.0,T
B,INTCK,3.0,4.0,N,1098.0,X
U,INTCKP,7.0,8.0,N,2396745.0,T
U,INTCKT,3.0,4.0,N,1098.0,T
U,INTCYCLE,1.0,2.0,C,10.0,X
U,INTCYCLEP,5.0,6.0,C,37449.0,T
U,INTCYCLET,1.0,2.0,C,10.0,T
U,INTFIT,3.0,3.0,C,137.0,X
U,INTFITP,3.0,3.0,C,73.0,T
U,INTFMT,2.0,2.0,C,18.0,X
U,INTFMTP,6.0,6.0,C,37449.0,T
U,INTFMTT,2.0,2.0,C,18.0,T
U,INTGET,3.0,3.0,C,73.0,X
U,INTINDEX,2.0,3.0,N,202.0,X
U,INTINDEXP,6.0,11.0,N,153391689.0,T
U,INTINDEXT,2.0,3.0,N,202.0,T
U,INTNEST,2.0,2.0,N,18.0,X
U,INTNESTP,10.0,10.0,N,153391689.0,T
U,INTNESTT,2.0,2.0,N,18.0,T
B,INTNX,3.0,5.0,N,1098.0,X
U,INTNXP,7.0,13.0,N,153391689.0,T
U,INTNXT,3.0,5.0,N,9290.0,T
B,INTRR,3.0,0.0,N,585.0,X
U,INTSEAS,1.0,2.0,N,26.0,X
U,INTSEASP,5.0,10.0,N,153391689.0,T
U,INTSEAST,1.0,2.0,N,26.0,T
U,INTSHIFT,1.0,1.0,C,2.0,X
U,INTSHIFTP,5.0,5.0,C,4681.0,T
U,INTSHIFTT,1.0,1.0,C,2.0,T
U,INTTEST,1.0,1.0,N,2.0,X
U,INTTESTP,5.0,5.0,N,4681.0,T
U,INTTESTT,1.0,1.0,N,2.0,T
B,INTZ,1.0,1.0,N,1.0,X
B,IORCMSG,0.0,0.0,C,0.0,B
U,IPMT,4.0,6.0,N,37449.0,X
B,IQR,1.0,0.0,N,9.0,X
B,IRR,3.0,0.0,N,585.0,X
U,IS8601_CONVERT,3.0,-1.0,B,460175058.0,B
U,IS8601_CONVERTC,3.0,-1.0,C,460175058.0,B
U,IS8601_CONVERTN,3.0,-1.0,N,460175058.0,B
B,ISPEXEC,1.0,2.0,B,19.0,B
B,ISPEXEC,1.0,2.0,N,19.0,B
B,ISPLINK,1.0,0.0,B,26.0,B
B,ISPLINK,1.0,0.0,N,26.0,B
U,JBESSEL,2.0,2.0,N,9.0,X
U,JSONPP,2.0,2.0,N,18.0,B
B,JULDATE,1.0,1.0,N,1.0,X
B,JULDATE7,1.0,1.0,N,1.0,X
U,KCHARLIST,1.0,1.0,C,2.0,X
U,KCMPRES,1.0,1.0,C,2.0,B
B,KCOMPARE,2.0,5.0,N,9434.0,X
B,KCOMPRESS,1.0,3.0,C,146.0,X
B,KCOUNT,1.0,1.0,N,2.0,X
U,KCOUNTC,2.0,3.0,N,146.0,B
U,KCOUNTW,1.0,3.0,N,146.0,B
U,KCOUNTX,2.0,3.0,N,146.0,B
U,KCVT,2.0,6.0,C,74898.0,B
U,KFIND,2.0,4.0,N,1746.0,B
U,KFINDC,1.0,4.0,N,1746.0,B
U,KFINDW,2.0,5.0,N,14034.0,B
U,KFNCTEST,4.0,0.0,N,102994.0,B
U,KFNCTKMU,3.0,3.0,C,74.0,B
U,KFNCTMGP,1.0,1.0,C,1.0,B
U,KFNCTMNM,1.0,1.0,C,1.0,B
U,KFNCTMSG,5.0,6.0,C,37522.0,B
U,KFNCTMSGF,3.0,4.0,N,586.0,B
U,KFNCTPERF,4.0,0.0,N,12882.0,B
U,KFNCTSUB,2.0,3.0,C,74.0,B
U,KFNCTSUBB,2.0,3.0,C,74.0,B
